"trt","year","mean","l95","u95","yr","trt_name"
1,2019,2.22140824754146,1.7298225239493,2.77891880282589,-1.33262192155452,"Non-APR"
1,2020,2.35363324003355,1.89826423950403,2.84899989889954,-0.484589789656188,"Non-APR"
1,2021,2.49836561378413,2.02390519199574,3.00919131208393,0.363442342242141,"Non-APR"
1,2022,2.65693764273896,2.08787736034973,3.29399317820236,1.21147447414047,"Non-APR"
2,2019,2.52044756081306,2.0452970137174,3.05873912720696,-1.33262192155452,"APR"
2,2020,2.57756816205751,2.17694772402914,3.01914335631291,-0.484589789656188,"APR"
2,2021,2.64016011852501,2.24395369160078,3.07430694760953,0.363442342242141,"APR"
2,2022,2.70855843382784,2.23253076982043,3.24493509139801,1.21147447414047,"APR"
