"trt","year","mean","l95","u95","yr","trt_name"
1,2019,1.15909067886499,0.690859276119458,1.76442325458456,-1.33262192155452,"Non-APR"
1,2020,1.36962418179255,0.849935130571382,1.9874737745654,-0.484589789656188,"Non-APR"
1,2021,1.62627495782487,1.01213904640642,2.34629226077691,0.363442342242141,"Non-APR"
1,2022,1.94042057105482,1.1682700244602,2.90164450160565,1.21147447414047,"Non-APR"
2,2019,2.28203488323562,1.59647656140807,3.2197986566304,-1.33262192155452,"APR"
2,2020,2.64526600542945,1.93005633380652,3.60587652168311,-0.484589789656188,"APR"
2,2021,3.07543826040579,2.24979588779221,4.19748014624017,0.363442342242141,"APR"
2,2022,3.58622946345866,2.53774335432951,5.04596737245638,1.21147447414047,"APR"
