"trt","year","mean","l95","u95","yr","trt_name"
1,2019,2.43461210032292,1.81125788728441,3.22141005249787,-1.33262192155452,"Non-APR"
1,2020,2.55824932597123,1.95894679063902,3.31142086669193,-0.484589789656188,"Non-APR"
1,2021,2.69222878053946,2.06952698153151,3.47979304193317,0.363442342242141,"Non-APR"
1,2022,2.83751154171948,2.13267616080178,3.73594883330852,1.21147447414047,"Non-APR"
2,2019,2.7773542813533,2.230550643788,3.42967769318542,-1.33262192155452,"APR"
2,2020,2.91416457051605,2.41264651106503,3.50473220824791,-0.484589789656188,"APR"
2,2021,3.06173667703752,2.54437429859389,3.66344856603783,0.363442342242141,"APR"
2,2022,3.22101529242447,2.61487759516255,3.92590599872553,1.21147447414047,"APR"
