"trt","year","mean","l95","u95","yr","trt_name"
1,2019,1.31479799234754,0.901992865434393,1.8180017471887,-1.33262192155452,"Non-APR"
1,2020,1.55777174814519,1.11286500653999,2.07316007170456,-0.484589789656188,"Non-APR"
1,2021,1.85098240616814,1.33321832534555,2.44662364424451,0.363442342242141,"Non-APR"
1,2022,2.20574154684305,1.54524918638548,2.99155669420489,1.21147447414047,"Non-APR"
2,2019,1.85501381013671,1.32127647578891,2.44707819261436,-1.33262192155452,"APR"
2,2020,2.03745811848499,1.50020008017238,2.5851993984726,-0.484589789656188,"APR"
2,2021,2.24316373239916,1.6628870175061,2.828627651341,0.363442342242141,"APR"
2,2022,2.47551415635714,1.80265478894299,3.2134769327825,1.21147447414047,"APR"
