LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,0,0,0,0,0,0,1,0,0
11006,1,0,0,0,0,0,1,1,0
11010,0,0,0,0,0,1,0,0,0
11013,0,0,0,0,1,0,0,0,0
11014,1,0,0,1,0,0,1,1,0
11016,0,0,1,0,2,0,0,1,0
11017,0,0,1,0,0,0,0,1,0
11018,0,0,0,0,0,0,0,1,2
11020,2,1,0,0,2,2,1,0,0
11021,0,0,0,0,1,0,0,0,0
11025,0,1,1,1,1,1,0,1,1
11031,0,0,1,1,1,0,0,1,1
11038,1,1,1,0,1,0,0,0,0
11040,2,3,2,4,2,2,2,1,3
11041,1,0,0,0,1,0,1,0,1
11045,0,0,1,1,0,0,0,1,0
11050,0,1,1,0,1,1,0,0,0
11051,2,2,3,2,2,1,2,2,2
12001,0,0,0,0,0,1,0,1,0
12002,0,2,0,0,0,0,1,0,0
12003,0,0,0,0,0,0,0,0,0
12005,1,0,0,1,0,1,1,1,0
12007,2,2,0,0,0,2,0,1,2
12009,0,1,2,1,0,1,1,1,1
12011,0,0,0,0,0,0,0,0,0
12013,0,0,0,0,2,1,0,3,0
12017,1,1,1,0,1,1,1,1,2
12024,0,0,1,0,1,1,1,1,1
12028,1,1,2,1,2,1,1,1,2
12029,0,1,0,2,0,2,2,1,0
12032,0,0,0,0,1,1,0,1,0
12033,0,1,1,0,0,0,0,0,0
12038,0,0,0,0,0,0,0,0,0
12040,0,1,2,1,2,0,1,0,0
12042,0,2,2,2,2,0,2,1,1
12044,0,1,1,0,1,2,0,0,3
13002,0,2,2,1,2,1,1,1,1
13004,1,0,1,0,1,1,1,0,1
13007,0,0,0,1,1,0,0,1,2
13008,3,2,2,2,2,3,1,1,2
13009,0,0,0,0,0,0,0,0,0
13020,1,2,0,1,1,1,1,1,1
13023,2,0,1,1,2,1,2,2,3
13027,0,0,0,0,0,0,0,0,0
13030,1,2,1,1,2,2,2,1,1
13037,2,2,1,1,1,4,7,3,3
13039,1,2,2,2,1,0,0,2,1
13040,0,0,0,0,0,0,0,0,0
13043,1,1,2,2,2,1,1,2,1
13044,NA,0,0,1,0,1,0,1,2
13048,1,0,2,0,1,1,1,1,1
13056,2,1,1,1,0,0,0,1,1
13060,2,2,2,1,2,1,2,2,2
13066,2,2,1,2,2,3,2,4,3
14001,1,0,1,1,1,0,1,1,0
14007,1,2,2,2,2,1,1,2,1
14008,0,1,1,2,1,0,1,1,2
14009,2,2,2,2,4,2,1,2,2
14013,0,0,0,0,0,0,1,0,0
14020,2,1,2,2,1,1,2,1,2
14024,0,0,0,0,0,0,1,1,1
14028,0,0,0,0,0,0,0,1,0
14029,0,0,0,0,0,0,0,1,0
14030,2,0,1,1,0,1,0,1,1
14036,0,0,2,0,0,0,1,0,0
14037,2,1,2,2,2,2,1,2,2
14044,0,0,0,0,0,0,2,0,0
14048,1,2,0,0,0,0,0,2,0
14056,0,1,1,1,1,0,2,2,2
14057,1,0,1,1,1,1,0,2,1
14059,2,2,1,1,2,0,1,0,2
14062,2,1,0,0,0,0,2,0,0
21005,0,0,0,1,1,0,0,1,1
21006,0,0,1,1,1,2,2,3,2
21007,2,0,1,0,0,0,0,0,0
21008,0,0,0,0,0,0,0,0,0
21012,1,2,0,0,0,0,2,0,0
21013,1,1,2,1,0,2,1,1,1
21020,1,1,1,1,1,1,1,1,2
21049,0,1,0,1,0,0,0,0,0
21052,1,0,0,0,0,0,0,0,0
21054,1,1,2,3,2,1,1,2,2
21055,2,2,2,1,2,2,2,1,1
