LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,0,0,1,0,1,2,0,2,1
11006,1,0,1,0,2,0,0,1,0
11010,0,0,1,0,0,1,0,0,0
11013,3,0,1,1,1,0,0,0,0
11014,2,0,0,1,1,1,2,2,1
11016,0,1,1,2,2,1,1,1,1
11017,1,2,1,0,1,0,1,1,0
11018,1,0,1,1,1,2,1,1,2
11020,1,1,1,0,1,2,1,0,0
11021,0,0,0,0,0,0,0,0,0
11025,1,1,1,1,1,1,1,1,2
11031,1,1,1,1,1,0,0,1,1
11038,1,0,1,0,1,0,0,0,0
11040,2,3,2,4,2,2,2,2,3
11041,1,0,0,0,3,0,1,0,1
11045,0,0,1,1,0,0,0,0,0
11050,2,1,1,1,2,0,0,0,0
11051,1,2,2,3,1,2,2,2,2
12001,0,1,1,0,0,1,0,1,0
12002,2,0,1,0,0,1,0,0,0
12003,0,0,0,0,0,0,0,0,0
12005,1,0,1,1,1,1,0,1,1
12007,1,1,1,1,1,1,0,1,2
12009,1,1,1,1,0,1,1,2,1
12011,0,0,0,0,0,0,1,0,1
12013,0,0,0,0,1,1,0,3,0
12017,1,1,1,1,1,1,1,2,3
12024,0,0,1,0,1,4,1,0,1
12028,0,0,1,1,1,1,2,1,2
12029,0,1,2,1,1,2,1,1,1
12032,0,3,0,0,2,1,0,0,1
12033,0,1,1,0,0,0,0,1,1
12038,0,0,0,0,0,1,0,0,0
12040,0,1,2,1,2,0,2,0,2
12042,1,1,1,1,1,2,3,0,1
12044,0,1,1,0,3,1,1,0,2
13002,1,1,1,0,1,1,1,2,1
13004,1,1,0,0,1,1,1,0,1
13007,1,1,0,1,1,0,0,1,1
13008,2,3,2,3,2,3,2,4,2
13009,0,0,0,1,1,0,0,0,4
13020,3,1,1,1,1,1,1,1,1
13023,1,1,3,2,1,1,1,2,2
13027,1,0,0,1,1,0,0,1,0
13030,2,1,2,1,4,1,2,1,1
13037,1,2,1,2,1,6,4,4,3
13039,1,1,2,0,1,1,3,2,2
13040,0,0,1,2,0,0,0,0,0
13043,1,1,1,1,1,1,1,1,1
13044,NA,1,1,1,3,1,0,1,2
13048,2,1,1,1,3,4,1,1,2
13056,1,0,1,1,1,0,0,1,1
13060,1,1,1,1,1,1,1,3,2
13066,3,1,2,1,3,4,2,4,2
14001,1,0,1,2,1,0,1,1,1
14007,1,1,1,1,1,1,1,1,0
14008,1,1,1,1,1,0,1,1,1
14009,2,1,1,0,1,1,1,1,1
14013,0,0,0,0,0,0,0,0,0
14020,0,1,2,2,1,1,1,1,1
14024,0,1,0,0,0,0,0,1,1
14028,0,1,1,0,0,0,0,1,0
14029,1,0,0,1,0,0,1,2,1
14030,1,0,1,1,1,0,0,1,1
14036,2,0,1,0,1,1,1,0,0
14037,2,1,1,1,2,1,1,1,1
14044,1,0,0,0,0,0,1,1,0
14048,2,1,0,1,1,1,1,1,1
14056,2,1,0,0,2,1,1,1,1
14057,0,1,1,1,1,1,0,2,2
14059,0,1,1,1,1,0,0,1,3
14062,1,1,1,0,0,1,2,1,0
21005,1,1,1,2,1,1,1,2,1
21006,1,0,3,1,3,3,2,2,1
21007,2,2,1,1,1,2,0,1,1
21008,0,0,0,0,0,0,0,0,0
21012,1,0,0,0,0,0,0,0,0
21013,1,3,2,1,1,2,1,2,2
21020,1,1,2,2,2,1,2,1,3
21049,1,1,2,1,1,1,1,1,1
21052,1,0,0,0,0,0,0,0,0
21054,1,1,1,1,1,1,1,1,2
21055,2,1,1,1,1,1,1,1,1
21056,0,0,0,0,0,0,0,0,0
21058,2,1,1,2,2,2,2,2,2
21059,1,0,0,1,0,0,0,1,0
21061,1,2,2,1,1,1,3,2,2
21063,1,1,0,1,1,0,0,2,3
21070,2,3,2,1,1,2,2,2,2
21072,2,1,2,1,1,1,0,1,0
22001,1,1,1,1,1,1,1,1,3
22007,1,2,2,0,1,1,1,2,1
22009,1,0,2,1,2,1,1,1,1
22010,1,1,1,1,2,1,1,2,1
22021,2,1,2,2,2,1,1,2,1
22022,2,2,3,2,1,2,1,0,2
22024,1,1,1,2,2,1,0,1,1
22026,0,1,1,1,1,0,1,2,0
22028,1,0,0,1,0,0,0,0,0
22040,1,1,0,1,2,4,3,5,3
22042,0,0,1,2,1,0,2,1,1
22047,1,1,1,3,1,1,1,1,1
22054,1,1,1,1,1,1,1,1,1
22059,2,2,2,2,2,2,2,1,2
22060,1,1,1,2,2,2,1,1,1
22065,0,1,3,1,2,2,3,2,3
22075,0,0,0,1,1,1,0,0,1
22076,1,2,1,1,2,1,1,1,2
23006,2,1,3,2,3,3,2,2,2
23007,0,1,1,1,1,1,0,1,0
23010,1,1,1,1,1,1,1,1,1
23016,0,0,0,0,0,2,2,1,1
23020,1,1,1,3,2,2,1,0,3
23021,0,0,NA,1,NA,1,2,1,2
23022,1,0,0,1,1,4,4,3,1
23029,0,1,0,1,2,1,1,2,1
23036,0,1,2,1,2,1,3,2,1
23047,0,0,0,1,2,0,1,0,2
23060,1,0,0,0,0,0,0,0,0
23063,1,2,0,1,2,2,1,0,1
23064,2,1,1,1,1,2,1,1,2
23070,0,2,1,2,3,1,1,2,1
23074,1,1,1,1,2,2,2,1,2
23076,0,0,0,1,1,0,1,0,0
23082,1,2,1,1,1,1,1,1,1
23090,1,1,1,0,1,0,1,1,1
24003,1,2,1,2,2,1,1,2,4
24008,0,0,0,0,0,0,0,0,0
24009,2,4,1,2,4,2,2,2,1
24010,2,1,1,1,1,2,3,3,1
24012,1,1,1,1,1,2,1,1,1
24018,1,1,2,1,1,0,0,1,2
24019,0,0,1,0,1,0,1,0,1
24023,2,2,2,2,0,2,1,1,0
24026,1,1,0,1,0,1,1,1,0
24028,2,2,1,1,2,1,1,2,4
24030,1,1,2,2,2,2,0,2,4
24032,1,1,1,0,1,1,1,1,2
24038,3,1,1,1,2,3,2,2,3
24044,3,2,1,2,1,2,2,2,1
24045,4,2,3,1,2,3,2,1,1
24056,3,1,1,1,1,0,1,3,1
24064,1,1,1,2,2,1,1,0,1
