LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,1,1,0,1,1,2,1,1,2
11006,1,1,1,1,1,1,1,1,1
11010,0,0,1,1,1,1,1,1,0
11013,1,1,2,2,3,1,1,1,1
11014,1,1,3,3,1,1,1,2,2
11016,1,0,2,0,1,1,1,0,1
11017,1,0,1,2,2,1,1,1,2
11018,1,0,1,0,1,1,1,1,1
11020,1,1,1,2,1,2,2,3,2
11021,1,1,1,1,1,2,1,1,1
11025,1,2,1,1,1,1,1,1,1
11031,2,1,0,1,1,2,1,1,1
11038,0,2,0,2,1,2,0,0,0
11040,1,1,3,1,1,2,4,3,3
11041,0,1,0,1,0,1,1,1,1
11045,0,0,0,0,0,0,3,0,0
11050,1,1,1,0,1,1,1,1,1
11051,1,1,2,1,1,0,0,1,1
12001,1,1,0,1,2,1,0,1,1
12002,1,1,0,1,1,0,1,0,1
12003,0,0,0,0,0,0,0,0,0
12005,1,1,2,1,2,1,2,1,1
12007,1,1,1,1,1,1,2,2,2
12009,1,1,1,2,1,1,1,1,3
12011,1,0,0,1,1,0,1,1,0
12013,1,1,1,1,2,1,2,1,1
12017,0,0,0,0,0,NA,0,0,1
12024,1,1,0,1,2,1,1,1,1
12029,1,0,1,2,2,1,0,1,1
12032,1,0,0,0,1,0,0,2,0
12033,0,0,0,0,2,1,0,0,1
12038,1,1,1,0,0,1,0,0,0
12040,2,2,2,2,2,1,1,0,1
12042,0,1,1,3,1,2,1,3,1
12044,1,1,1,1,2,1,2,1,2
12045,1,1,2,1,2,0,1,1,1
13002,2,2,2,1,1,1,2,1,2
13004,0,3,2,1,2,1,1,1,2
13008,3,4,2,3,4,3,2,4,3
13009,1,1,1,1,1,1,3,4,1
13020,1,2,1,1,1,0,1,1,1
13023,2,2,2,3,1,2,2,2,3
13027,0,0,0,0,0,0,0,0,0
13030,3,1,2,2,2,3,2,3,3
13037,3,4,4,4,4,3,2,5,3
