LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,2,1,3,1,2,2,2,2,1
11006,1,0,0,1,1,2,0,0,0
11010,0,0,0,1,0,0,0,0,0
11013,1,1,1,1,1,2,1,2,1
11014,1,1,1,0,0,2,1,2,1
11016,1,0,1,1,0,1,1,1,1
11017,0,1,1,0,1,0,0,1,0
11018,1,1,0,1,0,1,1,1,1
11020,4,1,0,NA,0,0,1,1,0
11021,1,2,1,1,1,NA,0,0,0
11024,1,1,2,0,1,1,2,1,1
11025,1,0,1,1,1,1,1,1,1
11031,1,1,2,1,2,1,2,2,3
11038,0,2,1,1,2,1,1,2,0
11040,1,1,2,3,2,2,1,5,2
11041,1,0,1,1,1,1,1,0,0
11045,0,0,1,0,0,0,0,0,0
11050,1,1,1,1,1,1,1,1,0
12001,0,0,1,0,1,0,1,0,1
12002,1,0,1,0,0,1,0,1,0
12003,0,0,0,0,0,0,0,0,0
12005,1,1,1,1,1,1,1,0,0
12007,0,1,0,NA,0,0,0,0,0
12009,1,2,2,1,0,0,0,1,1
12011,0,0,0,0,0,0,0,0,0
12013,1,1,1,1,1,1,2,1,1
12015,0,0,0,0,0,0,0,0,0
12016,1,2,2,3,1,1,1,1,0
12017,1,0,0,0,0,2,1,1,1
12024,1,1,1,1,1,1,1,1,1
12028,3,2,1,1,3,1,2,1,3
12029,0,1,1,0,1,1,1,1,1
12032,0,3,1,1,0,0,0,0,2
12033,1,0,1,0,1,0,1,0,0
12038,1,1,0,0,0,0,0,0,0
12040,1,1,1,1,1,1,1,2,1
13002,1,1,1,1,1,1,3,1,1
13004,1,1,2,1,3,1,2,1,0
13007,0,1,1,2,1,1,2,1,0
13008,1,1,1,1,1,1,1,2,1
13009,1,1,2,1,2,2,0,2,3
13020,3,1,4,1,1,2,1,1,1
13022,1,0,0,0,1,0,0,0,0
13023,2,3,1,2,1,2,2,2,1
13027,0,0,NA,1,0,0,0,0,0
13029,1,1,1,2,1,2,2,2,2
13030,2,1,1,1,3,1,2,0,NA
13037,1,1,1,1,1,1,1,3,4
13039,1,1,1,1,1,1,1,1,2
13040,0,0,0,1,0,0,0,1,0
13042,1,1,0,0,1,0,1,0,0
13043,1,1,1,1,1,1,1,1,1
13044,NA,0,1,1,1,1,0,0,0
13048,1,0,1,1,1,1,1,2,1
14001,1,1,1,1,0,1,1,1,1
14003,3,1,1,2,1,3,2,2,2
14004,1,1,2,2,3,2,2,2,0
14007,0,0,3,1,1,3,1,1,1
14008,1,1,1,1,1,2,1,1,1
14009,1,1,1,0,1,1,1,0,1
14013,1,0,0,0,0,0,1,1,1
14017,NA,1,2,1,0,1,1,1,1
14020,1,1,2,2,1,1,1,1,2
14024,1,1,1,1,1,0,2,1,0
14028,0,0,0,0,0,0,1,0,0
14029,0,1,0,0,0,1,0,3,2
14030,1,1,1,1,1,0,0,0,1
14036,1,0,1,0,0,0,0,0,0
14037,1,1,1,1,1,1,1,1,0
14044,1,0,2,0,2,1,1,0,1
14048,0,2,1,1,1,3,4,2,2
14049,NA,0,1,1,0,1,1,1,0
21003,1,NA,1,NA,0,0,1,1,0
21005,1,0,1,1,1,2,2,1,1
21006,1,2,2,3,1,3,1,0,3
21007,0,1,0,0,0,1,1,1,0
21008,0,0,0,0,0,0,0,0,0
21012,1,1,1,1,1,0,1,1,1
21013,1,2,1,1,1,1,1,1,2
21020,4,3,2,1,1,1,2,1,2
21022,1,2,2,1,1,2,2,3,1
21024,1,1,1,1,1,3,0,1,0
21025,1,1,1,1,0,2,1,3,2
21026,4,1,3,1,1,1,2,2,2
21029,1,1,1,0,2,0,2,2,1
21038,3,1,2,1,1,1,2,1,1
21045,1,1,2,1,0,1,1,2,1
21049,1,2,1,1,1,1,1,1,0
21052,1,1,0,0,1,1,2,1,1
21054,1,2,2,2,3,1,3,2,3
22001,1,1,1,1,1,1,2,1,1
22002,0,0,0,1,0,0,0,0,0
22003,1,2,1,1,1,1,1,1,1
22007,1,1,1,1,1,1,1,1,1
22009,2,1,1,1,1,1,2,2,1
22010,1,2,2,2,1,1,1,1,2
22018,0,3,1,0,1,1,0,0,0
22019,0,2,1,0,1,1,1,1,0
22021,0,NA,1,1,1,2,1,1,0
22022,2,NA,2,1,1,3,1,2,0
22024,2,1,1,1,2,1,1,2,1
22026,0,0,1,0,0,1,0,2,0
22028,1,NA,1,2,0,0,1,1,0
22032,1,1,1,2,1,1,1,1,2
22040,1,1,1,1,1,1,1,1,2
22042,1,2,2,1,2,1,2,3,3
22043,0,1,3,2,2,1,1,1,1
22047,1,1,1,1,1,1,1,1,0
23002,1,2,2,1,2,1,2,2,1
23006,0,1,2,2,1,3,3,1,2
23007,1,2,1,1,1,2,1,1,1
23013,2,1,1,1,2,3,2,1,5
23015,1,1,1,1,1,3,3,1,1
23016,0,1,1,1,1,0,0,0,1
23020,0,1,1,1,1,NA,2,1,1
23021,2,3,3,2,1,2,0,2,3
23022,2,1,2,2,3,2,3,2,2
23029,1,1,1,1,1,2,1,2,1
23032,0,1,1,1,0,1,0,0,1
23036,1,1,2,1,1,1,1,0,1
23040,1,1,0,1,3,1,1,0,1
23041,1,2,2,1,2,2,3,2,2
23045,1,1,1,1,1,1,1,1,1
23047,1,1,1,1,1,1,2,1,1
23057,1,NA,1,1,1,1,1,1,1
23064,1,1,1,0,1,1,1,1,1
24001,1,1,1,1,1,0,1,0,0
24003,3,2,3,1,2,3,1,1,2
24008,0,0,0,0,0,0,0,0,0
24009,1,1,1,1,1,1,0,1,2
24010,1,1,1,1,1,1,0,1,1
24012,1,2,1,1,1,1,2,1,1
24018,0,0,0,1,1,0,0,0,1
24019,1,1,1,2,1,0,1,1,1
24023,1,1,1,1,1,2,1,0,1
24024,1,1,0,0,0,0,0,0,0
24026,2,0,0,0,2,0,0,0,0
24028,1,1,1,1,1,1,1,1,2
24030,1,4,2,1,1,1,2,1,1
24032,1,3,2,2,2,3,1,2,2
24038,1,0,1,0,1,0,2,0,1
24039,0,2,1,1,1,0,0,1,2
24044,4,3,4,2,5,7,4,2,4
24045,1,3,2,2,1,2,2,NA,1
