LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,0,0,1,1,0,0,0,0,2
11006,2,2,2,1,2,2,1,0,1
11010,0,0,0,0,1,0,0,0,0
11013,1,2,2,0,2,0,2,0,1
11014,1,0,1,1,1,1,1,1,2
11016,1,0,0,0,0,0,0,0,0
11017,0,0,0,0,0,0,0,1,0
11018,0,0,0,0,0,0,0,1,0
11020,2,0,1,1,0,2,2,3,1
11021,1,0,0,0,0,1,0,1,1
11025,2,2,2,2,2,1,2,1,1
11031,0,2,0,2,2,2,2,0,0
11038,0,1,0,2,1,0,0,0,1
11040,2,1,2,3,3,1,2,3,3
11041,0,2,2,2,0,1,1,1,1
11045,0,0,0,0,0,0,1,0,0
11050,0,0,0,0,1,0,1,0,0
11051,1,1,2,1,4,2,2,1,2
12001,0,0,0,0,1,1,1,1,2
12002,1,0,0,0,1,0,0,0,0
12003,0,0,0,0,0,0,0,0,0
12005,1,1,1,1,2,2,1,0,1
12007,0,1,1,1,1,1,2,1,2
12009,2,1,2,1,2,1,2,3,2
12011,1,0,0,0,0,0,1,0,0
12013,1,0,1,2,1,1,1,2,1
12017,0,0,0,0,0,NA,0,1,0
12024,1,0,1,0,1,1,1,1,2
12029,0,0,0,2,2,1,0,0,0
12032,0,0,0,1,1,0,1,1,1
12033,0,0,0,0,2,1,0,0,0
12038,0,0,0,0,0,0,0,0,0
12040,1,0,0,1,0,1,1,0,1
12042,0,1,2,3,1,0,0,3,0
12044,1,0,0,2,2,2,2,1,2
12045,2,2,2,2,1,1,2,0,1
13002,1,1,1,1,1,1,2,1,1
13004,0,1,1,1,1,1,1,1,1
13008,3,2,2,3,2,4,3,3,2
13009,0,0,0,0,1,0,1,3,2
13020,2,2,3,2,2,0,2,0,1
13023,1,1,1,2,2,1,2,2,1
13027,0,0,0,0,0,0,0,0,0
13030,1,3,2,4,0,3,3,3,3
13037,0,1,2,3,4,3,3,4,2
13039,1,0,1,1,1,0,1,0,1
13040,0,0,1,2,0,0,1,2,2
13043,0,0,0,0,0,0,0,1,0
13044,0,0,0,0,0,0,1,0,1
13048,2,2,2,1,1,2,4,2,2
13056,0,1,1,0,2,2,1,1,1
13060,1,2,3,2,2,2,2,2,2
13066,3,3,3,3,3,2,3,3,3
13069,2,0,0,0,1,0,0,0,0
14001,0,0,0,0,0,0,0,0,0
14007,0,0,1,1,1,1,1,1,1
14008,2,2,3,1,2,2,2,2,1
14009,2,0,1,1,2,1,2,1,1
14013,0,0,0,0,0,0,0,0,0
14020,2,2,1,1,2,1,0,1,2
14024,2,1,2,2,2,2,2,1,3
14028,1,1,1,1,1,1,1,1,2
14029,0,2,2,1,2,2,2,1,0
14030,2,2,0,2,0,2,0,1,1
14036,0,0,0,1,2,0,0,2,0
14037,0,1,0,1,1,1,1,1,0
14044,0,0,0,0,0,0,0,2,0
14048,1,2,0,1,2,2,1,1,2
14056,1,1,0,0,1,0,0,1,1
14057,0,0,2,2,2,0,0,0,NA
14059,2,1,1,0,1,2,1,1,3
14062,1,0,1,2,1,1,0,2,1
21005,1,1,0,0,1,0,0,1,2
21006,1,1,1,2,1,0,1,1,1
21007,2,1,2,1,1,1,2,1,0
21008,0,0,0,0,1,0,0,0,0
21012,2,0,0,0,2,1,0,0,2
21020,0,1,1,2,1,1,1,1,2
21049,1,0,1,2,1,1,2,1,1
21052,0,0,0,0,0,0,0,0,0
21054,1,0,2,2,2,2,2,1,2
21055,1,1,2,2,1,1,1,1,1
21058,1,2,2,2,1,3,2,2,2
21059,2,0,1,2,0,0,2,1,0
21061,1,1,2,3,2,1,3,2,1
21063,0,0,0,0,0,1,1,0,2
21070,1,1,2,2,1,1,2,3,1
21072,0,1,0,1,1,1,1,1,2
21081,2,0,0,0,1,0,0,0,1
21082,0,0,0,1,0,2,0,0,1
22001,1,2,1,1,2,1,2,1,2
22007,1,1,2,1,1,1,2,1,1
22009,1,1,1,2,1,3,2,2,2
22010,2,1,2,1,1,2,2,0,1
22021,2,2,2,1,2,2,2,1,1
22022,2,2,1,2,2,2,1,1,2
22024,2,2,1,2,2,2,2,2,2
22026,0,0,0,0,0,0,0,0,0
22028,0,0,0,0,0,0,0,0,0
22040,3,2,2,4,3,2,3,3,3
22042,0,0,0,0,0,2,2,1,1
22047,1,2,1,1,1,2,3,2,1
22054,1,1,2,0,1,1,2,1,1
22059,2,2,2,2,2,1,2,2,2
22060,2,2,2,3,2,3,2,2,2
22065,1,0,0,1,3,2,1,1,2
22075,2,1,1,2,1,1,2,0,1
22076,2,2,1,2,2,1,1,1,1
23006,2,2,2,3,2,3,2,2,3
23007,2,1,2,1,2,2,2,2,1
23010,0,1,1,1,0,1,1,1,1
23016,0,0,0,1,2,1,2,1,1
23020,1,2,1,1,2,1,2,2,4
23021,2,2,2,2,2,3,2,2,2
23022,2,2,1,2,2,2,3,2,2
23029,0,1,1,1,2,0,1,0,1
23036,0,2,2,1,2,1,1,0,0
23047,0,0,0,2,1,2,1,2,2
23060,0,0,2,0,1,0,0,0,1
23063,1,2,1,1,2,1,2,2,2
23064,1,1,1,2,2,1,2,2,2
23070,2,2,2,1,2,1,2,2,1
23074,2,2,2,2,2,2,3,2,2
23076,1,0,1,1,0,1,1,1,2
23082,0,1,0,1,0,NA,NA,0,1
23091,1,0,0,0,0,0,0,1,0
24008,0,0,1,0,0,0,0,0,0
24009,2,2,2,1,1,3,2,2,2
24010,2,2,0,0,1,2,2,1,1
24018,0,0,0,0,1,1,1,1,1
24019,1,1,2,2,2,1,1,1,1
24023,2,2,2,2,2,2,2,1,1
24026,0,1,0,1,1,1,1,1,1
24028,2,2,2,2,2,2,2,2,2
24030,1,2,2,1,1,3,2,2,2
24032,2,1,1,1,2,1,1,2,1
24038,0,0,0,0,0,1,1,1,1
24045,0,2,1,2,2,1,1,1,1
24056,1,0,1,2,2,1,1,1,1
24064,2,3,2,1,1,2,2,1,1
24069,2,2,2,2,2,1,2,1,1
24071,1,2,1,2,1,2,2,2,2
24072,1,2,1,2,2,2,2,3,2
24075,2,1,1,1,0,2,2,1,1
