LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
12001,0,0,0,0,0,0,0,0,0
12002,1,1,1,0,2,0,0,0,0
12003,0,0,0,0,0,0,0,0,0
12005,0,2,1,1,0,1,1,2,0
12007,2,0,1,2,2,0,0,0,1
12009,1,0,1,1,1,1,1,1,1
12011,0,0,0,0,0,0,0,0,0
12013,2,1,2,2,2,0,3,2,2
12017,0,0,0,1,0,0,0,0,1
12024,2,0,0,0,2,2,1,2,1
12028,1,1,2,2,2,2,2,2,2
12029,1,1,1,1,0,2,2,2,0
12032,0,0,2,1,1,0,2,2,0
12033,0,1,1,0,1,0,1,1,1
12038,0,0,0,0,0,0,0,0,0
12040,1,0,2,2,1,0,0,2,1
12042,2,0,2,0,0,2,1,1,2
12044,1,1,1,1,1,2,0,0,1
13002,0,0,2,0,1,1,0,1,0
13004,0,1,0,1,0,0,0,0,1
13007,0,0,0,2,1,0,1,1,0
13008,1,1,2,2,2,2,2,1,3
13009,0,0,0,0,0,0,0,0,2
13020,1,2,1,2,1,0,1,2,2
13023,1,1,2,0,1,1,1,2,2
13024,2,3,2,2,2,2,2,2,3
13027,0,0,0,0,0,0,0,0,0
13030,0,1,0,0,0,0,0,0,0
13037,2,3,3,3,3,3,4,4,3
13039,0,0,NA,0,0,0,1,0,1
13040,0,0,0,0,0,1,0,2,0
13043,1,1,2,0,1,1,0,0,1
13044,1,0,0,2,2,2,1,1,1
13048,1,1,0,1,0,2,1,2,3
13056,1,2,2,1,1,1,1,0,1
13060,1,2,2,1,2,1,2,1,2
22001,2,0,1,2,2,1,2,1,1
22007,0,0,2,1,2,1,1,1,1
22009,1,0,1,1,0,0,2,2,1
22010,1,1,1,1,2,2,1,2,1
22018,0,0,0,0,0,0,0,0,0
22021,1,1,2,1,0,1,1,1,2
22022,1,1,1,1,1,1,1,0,0
22024,1,2,2,3,2,2,2,2,2
22026,0,0,0,0,0,0,2,0,0
22028,0,0,0,0,0,1,0,0,0
22040,2,2,3,3,3,3,2,5,2
22042,2,0,0,0,2,0,1,1,2
22047,1,1,0,1,1,1,1,1,0
22054,2,1,1,2,2,2,0,2,1
22059,1,1,1,1,1,1,1,1,1
22060,2,3,2,4,2,2,3,3,2
22065,1,1,2,1,1,1,1,1,1
22075,1,2,0,0,0,1,0,0,1
23006,0,0,1,1,NA,0,3,3,3
23007,2,2,2,2,0,2,2,2,1
23010,1,0,2,2,0,1,0,1,1
23016,0,0,0,0,0,0,1,0,0
23020,1,2,3,1,1,1,2,3,3
23021,2,1,1,1,2,1,0,1,1
23022,1,3,2,2,2,0,2,2,1
23029,1,1,1,1,1,2,2,1,1
23036,2,1,0,1,2,2,2,2,1
23040,0,2,2,1,0,0,0,0,1
23047,1,1,0,1,1,1,1,1,0
23060,0,1,1,1,0,1,0,0,0
23063,0,1,1,0,0,1,1,0,0
23064,1,0,1,1,0,0,0,1,1
23070,1,0,2,0,2,2,2,4,1
23074,2,0,0,0,0,1,0,0,0
23076,0,0,0,1,0,0,0,0,1
23082,1,2,2,1,2,2,0,0,1
