LocationName,week1.count,week2.count,week3.count,week4.count,week5.count,week6.count,week7.count,week8.count,week9.count
11004,0,0,0,0,0,1,0,1,0
11006,0,0,0,0,1,0,0,1,0
11010,1,0,0,0,1,1,1,1,0
11013,0,1,1,1,1,0,1,0,0
11014,1,0,1,1,1,0,0,0,0
11016,1,1,3,1,1,2,2,2,2
11017,0,0,1,1,1,0,0,0,1
11018,0,0,0,0,0,1,1,1,1
11020,1,0,0,0,3,0,1,0,1
11021,0,0,0,0,0,0,0,0,0
11025,0,0,2,2,1,1,1,1,1
11031,0,1,0,1,0,0,0,0,1
11038,0,0,0,0,1,0,0,0,0
11040,0,1,2,0,1,1,1,3,1
11041,0,2,1,0,2,0,0,0,0
11045,0,0,0,0,1,2,1,0,0
11050,0,1,0,0,0,0,1,0,0
11051,0,1,1,1,0,0,0,1,1
12001,1,0,0,1,0,0,0,0,0
12002,0,0,0,0,0,0,0,0,0
12003,0,0,0,0,0,0,0,0,0
12005,0,1,0,1,1,0,0,1,0
12007,0,1,0,1,0,0,0,1,1
12009,1,0,1,0,1,0,0,1,1
12011,0,0,0,0,0,0,0,0,0
12013,0,0,0,0,0,0,0,2,1
12017,0,0,0,0,0,NA,0,0,1
12024,0,0,0,0,0,0,0,1,0
12029,0,0,0,1,1,1,0,0,0
12032,0,1,0,0,0,1,1,1,1
12033,0,0,0,0,0,0,0,1,0
12038,0,0,0,0,0,0,0,0,0
12040,0,0,1,0,0,0,0,0,0
12042,1,1,1,2,2,2,2,0,0
12044,1,2,0,0,1,0,1,0,1
12045,0,1,0,2,0,0,0,0,1
13002,1,0,1,0,1,1,1,1,1
13004,0,1,1,0,1,1,0,1,0
13008,1,3,2,2,1,3,2,2,1
13009,0,1,0,0,0,0,0,0,1
13020,1,1,1,0,1,0,0,0,0
13023,1,0,1,0,0,0,1,0,1
13027,1,0,0,0,0,0,0,0,0
13030,1,3,3,1,1,4,1,2,3
13037,1,1,1,1,3,3,1,2,3
13039,0,0,0,1,0,0,1,0,0
13040,1,1,1,1,0,0,0,1,2
13043,0,0,0,0,0,0,0,0,0
13044,1,0,0,0,0,0,0,0,0
13048,1,2,1,0,2,1,1,1,2
13056,2,2,1,2,1,1,1,0,1
13060,0,0,1,1,1,0,1,1,0
13066,0,1,1,2,1,2,1,0,1
13069,0,0,0,1,1,0,0,0,0
14001,0,1,0,1,0,0,0,1,0
14007,1,2,1,1,1,1,1,1,1
14008,2,1,1,1,1,2,1,2,1
14009,1,1,1,1,1,1,1,1,0
14013,0,0,0,0,0,0,0,0,0
14020,0,0,0,1,1,0,0,0,0
14024,0,0,0,0,0,0,0,0,0
14028,1,2,1,1,1,1,1,1,1
